ticker;date_from;date_to;t;price;step_backward;nbre_generation;t_until_critical_point;days_before_critical_time;m;omega;tc;A;B;C1;C2
S5REID;03.10.2011;10.04.2014;2014.275;35.96;-29;50;0.980208309;357;0.100322716;5.002864604;2015.255208;6.546564681;-2.877248185;-0.060892134;-0.056100399
S5REID;03.10.2011;09.04.2014;2014.272;36.72;-30;50;0.967887033;353;0.100233135;5.000414511;2015.239887;6.508377026;-2.843560774;-0.063168413;-0.053028346
S5REID;03.10.2011;08.04.2014;2014.269;36.59;-31;50;0.972491623;354;0.100232947;5.000786119;2015.241492;6.51797735;-2.85231579;-0.062825602;-0.053536163
S5REID;03.10.2011;07.04.2014;2014.267;36.53;-32;50;0.97281988;355;0.101045663;5.002096477;2015.23982;6.491458176;-2.82612393;-0.062875459;-0.053312907
S5REID;03.10.2011;04.04.2014;2014.258;36.48;-35;50;0.970313792;354;0.100414795;5.000704126;2015.228314;6.478480596;-2.816556717;-0.064554433;-0.050934829
S5REID;03.10.2011;03.04.2014;2014.256;36.34;-36;50;0.964970484;352;0.100216936;5.000501082;2015.22097;6.464718939;-2.80490465;-0.065523355;-0.049428448
S5REID;03.10.2011;02.04.2014;2014.253;36.28;-37;50;0.965786667;352;0.100029066;5.000347082;2015.218787;6.468822043;-2.809326782;-0.065739448;-0.049121836
S5REID;03.10.2011;01.04.2014;2014.25;36.34;-38;50;0.974206481;355;0.100060417;5.001487659;2015.224206;6.4908407;-2.829179099;-0.064828063;-0.050564637
S5REID;03.10.2011;31.03.2014;2014.25;36.3;-39;50;0.964363872;351;0.100803832;5.001899416;2015.214364;6.440571498;-2.781888426;-0.066032421;-0.048468913
S5REID;03.10.2011;28.03.2014;2014.242;36.04;-42;50;0.965521286;352;0.100070211;5.001222277;2015.207521;6.44653521;-2.789612278;-0.066912256;-0.047111812
S5REID;03.10.2011;27.03.2014;2014.239;35.66;-43;50;0.962019215;351;0.100076196;5.000202583;2015.201019;6.432345135;-2.777056147;-0.067671278;-0.045798137
S5REID;03.10.2011;26.03.2014;2014.236;35.48;-44;50;0.955571059;348;0.100453447;5.001120321;2015.191571;6.399158616;-2.746327533;-0.068627461;-0.043899619
S5REID;03.10.2011;25.03.2014;2014.233;35.98;-45;50;0.94894836;346;0.101022148;5.000859557;2015.181948;6.362172534;-2.711733572;-0.069565912;-0.04194032
S5REID;03.10.2011;24.03.2014;2014.231;35.66;-46;50;0.931961577;340;0.100056531;5.012752769;2015.162962;6.330259253;-2.685478747;-0.071225327;-0.037942899
S5REID;03.10.2011;21.03.2014;2014.222;36.08;-49;50;0.937445422;342;0.100116934;5.000018461;2015.159445;6.333791291;-2.689231702;-0.071852357;-0.037054141
S5REID;03.10.2011;20.03.2014;2014.219;35.78;-50;50;0.94484132;344;0.101026738;5.000310947;2015.163841;6.326177591;-2.679979198;-0.071247031;-0.038289246
S5REID;03.10.2011;19.03.2014;2014.217;35.58;-51;50;0.934977693;341;0.100809804;5.002957971;2015.151978;6.300990163;-2.65801293;-0.072270744;-0.035703942
S5REID;03.10.2011;18.03.2014;2014.214;36.3;-52;50;0.940407563;343;0.10101145;5.00187512;2015.154408;6.31198582;-2.667667846;-0.071920669;-0.036578276
S5REID;03.10.2011;17.03.2014;2014.211;36;-53;50;0.937715491;342;0.102800733;5.001927062;2015.148715;6.247142619;-2.60450311;-0.072306412;-0.035213761
S5REID;03.10.2011;14.03.2014;2014.203;35.73;-56;50;0.940196774;343;0.100263783;5.000400753;2015.143197;6.308157796;-2.666605725;-0.072967287;-0.034092956
S5REID;03.10.2011;13.03.2014;2014.2;35.88;-57;50;0.932200388;340;0.100964292;5.000599876;2015.1322;6.260533098;-2.621937953;-0.073794955;-0.03153948
S5REID;03.10.2011;12.03.2014;2014.197;36.12;-58;50;0.926837951;338;0.100357872;5.001844349;2015.123838;6.256782612;-2.620312432;-0.074415767;-0.029668373
S5REID;03.10.2011;11.03.2014;2014.194;35.96;-59;50;0.934785789;341;0.100229715;5.00025207;2015.128786;6.27937587;-2.641191793;-0.074028606;-0.03099074
S5REID;03.10.2011;10.03.2014;2014.192;35.84;-60;50;0.940322022;343;0.100666203;5.000422956;2015.132322;6.281309329;-2.641851271;-0.073642637;-0.032006121
S5REID;03.10.2011;07.03.2014;2014.183;36.33;-63;50;0.952612923;347;0.102196409;5.000685005;2015.135613;6.252214536;-2.611601378;-0.0731794;-0.032933847
S5REID;03.10.2011;06.03.2014;2014.181;36.73;-64;50;0.944863258;344;0.100537473;5.000275691;2015.125863;6.270225329;-2.632363539;-0.074127424;-0.030551558
S5REID;03.10.2011;05.03.2014;2014.178;37.12;-65;50;0.960774469;350;0.100037307;5.001622235;2015.138774;6.318167264;-2.676764058;-0.073090414;-0.033669725
S5REID;03.10.2011;04.03.2014;2014.175;37.31;-66;50;0.981257884;358;0.100346506;5.001491437;2015.156258;6.351949114;-2.706003812;-0.071572096;-0.037583001
S5REID;03.10.2011;03.03.2014;2014.172;36.38;-67;50;1.011008204;369;0.101099084;5.003858841;2015.183008;6.39362818;-2.740719613;-0.068809797;-0.043427917
S5REID;03.10.2011;28.02.2014;2014.158;36.62;-70;50;1.054434788;384;0.110415252;5.009163463;2015.212435;6.208132251;-2.547963485;-0.064586366;-0.049269447
S5REID;03.10.2011;27.02.2014;2014.156;36.36;-71;50;1.05776472;386;0.115374132;5.037329727;2015.213765;6.068765522;-2.409926091;-0.063219082;-0.049690492
S5REID;03.10.2011;26.02.2014;2014.153;36.46;-72;50;1.068804973;390;0.100091083;5.000512387;2015.221805;6.510829389;-2.848052953;-0.064757506;-0.051115765
S5REID;03.10.2011;25.02.2014;2014.15;36.37;-73;50;1.098198199;400;0.100126886;5.000047911;2015.248198;6.571101615;-2.901381952;-0.061429023;-0.056148259
S5REID;03.10.2011;24.02.2014;2014.147;36.17;-74;50;1.128979967;412;0.100253831;5.000045805;2015.27598;6.629749931;-2.952771901;-0.057618954;-0.061127634
S5REID;03.10.2011;21.02.2014;2014.139;36.1;-77;50;1.173625157;428;0.102431816;5.002112227;2015.312625;6.642740613;-2.956169857;-0.051875002;-0.067151865
S5REID;03.10.2011;20.02.2014;2014.136;35.9;-78;50;1.240610005;452;0.102059217;5.003685953;2015.37661;6.805314713;-3.100622597;-0.040871355;-0.076649146
S5REID;03.10.2011;19.02.2014;2014.133;36.2;-79;50;1.303777666;475;0.101825563;5.007966879;2015.436778;6.94982658;-3.228047538;-0.029381105;-0.083817288
S5REID;03.10.2011;18.02.2014;2014.131;36.27;-80;50;1.36297988;497;0.104666771;5.003904619;2015.49398;6.970804056;-3.233865901;-0.018644188;-0.088722812
S5REID;03.10.2011;17.02.2014;2014.119;36.15;-81;50;1.433277467;523;0.101802614;5.001182171;2015.552277;7.188880593;-3.435856501;-0.007353793;-0.092922952
S5REID;03.10.2011;14.02.2014;2014.119;36.15;-84;50;1.507439099;550;0.101411168;5.001140706;2015.626439;7.39111005;-3.614152537;0.008898125;-0.095730033
S5REID;03.10.2011;13.02.2014;2014.117;36.3;-85;50;1.794772559;655;0.100678405;5.002233016;2015.911773;8.103064628;-4.233133781;0.068685997;-0.084186045
S5REID;03.10.2011;12.02.2014;2014.114;36.19;-86;50;1.857608152;678;0.100875284;5.002504572;2015.971608;8.172925447;-4.289346205;0.078724078;-0.078903616
S5REID;03.10.2011;11.02.2014;2014.111;36.11;-87;50;1.994698419;728;0.100760204;5.001925818;2016.105698;8.427454844;-4.505288472;0.100342376;-0.062310054
S5REID;03.10.2011;10.02.2014;2014.108;35.86;-88;50;1.99397344;727;0.100252542;5.002947465;2016.101973;8.352728332;-4.441545363;0.098733547;-0.06466603
S5REID;03.10.2011;07.02.2014;2014.1;35.5;-91;50;1.999789501;729;0.100461151;5.000047434;2016.09979;8.252631168;-4.351519642;0.097167083;-0.067107909
S5REID;03.10.2011;06.02.2014;2014.097;35.18;-92;50;1.995069135;728;0.102798064;5.002859326;2016.092069;8.04785854;-4.158286915;0.094741843;-0.06927343
S5REID;03.10.2011;05.02.2014;2014.094;34.78;-93;50;1.985547365;724;0.101158075;5.003617159;2016.079547;8.034987977;-4.155582767;0.092114757;-0.072321378
S5REID;03.10.2011;04.02.2014;2014.092;34.45;-94;50;1.999907973;729;0.100878702;5.000902648;2016.091908;8.021510835;-4.144040963;0.093425727;-0.072084165
S5REID;03.10.2011;03.02.2014;2014.089;33.93;-95;50;1.993312748;727;0.102243982;5.008234131;2016.082313;7.893467895;-4.024051013;0.091415149;-0.073298604
S5REID;03.10.2011;31.01.2014;2014.083;34.46;-98;50;1.997263404;729;0.112018258;5.006684273;2016.080263;7.462355353;-3.600010877;0.089274881;-0.073629447
S5REID;03.10.2011;30.01.2014;2014.081;34.5;-99;50;1.999138663;729;0.102372617;5.000204229;2016.080139;7.818395255;-3.957112731;0.089750826;-0.075932199
S5REID;03.10.2011;29.01.2014;2014.078;32.9;-100;50;1.999911466;729;0.100439509;5.000194751;2016.077911;7.853146564;-3.997033868;0.089017865;-0.077346079
S5REID;03.10.2011;28.01.2014;2014.075;33.1;-101;50;1.999618321;729;0.101298246;5.001172278;2016.074618;7.822321902;-3.965838931;0.088561283;-0.077284194
