"date_from","date_to","t","price","step_backward","nbre_generation","t_until_critical_point","days_before_critical_time","m","omega","tc","A","B","C1","C2"
"2003-03-12","2010-08-12","2010.614","1083.61","-80","100","0.864234949367528","315","0.100005336718226","5.00000082583211","2011.47823494937","5.64825191654366","1.25374244062356","0.13962488375554","0.118375044728771"
"2003-03-12","2010-08-11","2010.611","1089.47","-81","100","0.865703147323075","315","0.100009940656174","5.0000018958671","2011.47670314732","5.64632385969504","1.25547277362111","0.139922994148079","0.118119668135879"
"2003-03-12","2010-08-10","2010.608","1121.06","-82","100","0.866789775918505","316","0.100001715366712","5.00000040867624","2011.47478977592","5.64410097816218","1.2575053033803","0.140299169972357","0.117788385552293"
"2003-03-12","2010-08-09","2010.606","1127.79","-83","100","0.866073442435209","316","0.100001520954875","5.00000655574198","2011.47207344244","5.64126178579817","1.26009931534293","0.140829347636456","0.117309852967148"
"2003-03-12","2010-08-06","2010.597","1121.64","-86","100","0.872074025344546","318","0.100059472234819","5.00001134526221","2011.46907402534","5.63902212177861","1.26208558796321","0.141403896415476","0.116765458916806"
"2003-03-12","2010-08-05","2010.594","1125.81","-87","100","0.872565249910622","318","0.100001309224892","5.0000140234313","2011.46656524991","5.6355346134482","1.26533318218395","0.141899315261218","0.116329029098107"
"2003-03-12","2010-08-04","2010.592","1127.24","-88","100","0.871895599811751","318","0.100002433355211","5.00000017928366","2011.46389559981","5.63276842272752","1.2678582818772","0.142416382858979","0.115846211646216"
"2003-03-12","2010-08-03","2010.589","1120.46","-89","100","0.87211393081725","318","0.100000208802116","5.00000030760994","2011.46111393082","5.62987210501295","1.27050902177408","0.142952861974477","0.115342724402087"
"2003-03-12","2010-08-02","2010.586","1125.86","-90","100","0.872652047493148","318","0.100003347082431","5.00000175028515","2011.45865204749","5.62721581417922","1.27292333494656","0.143424214309333","0.114899763714589"
"2003-03-12","2010-07-30","2010.581","1101.6","-93","100","0.875027656513794","319","0.100023726287638","5.00000302455069","2011.45602765651","5.62466529782907","1.27522348772383","0.143922439310497","0.114420954698509"
"2003-03-12","2010-07-29","2010.578","1101.53","-94","100","0.87612252619374","319","0.100004303443788","5.00000239853196","2011.45412252619","5.62222978396867","1.27745892615146","0.144288326277268","0.11408041682964"
"2003-03-12","2010-07-28","2010.575","1106.13","-95","100","0.877311294889068","320","0.100021646164316","5.00001094208131","2011.45231129489","5.62033075455823","1.27915695500498","0.14462670528869","0.113753895159471"
"2003-03-12","2010-07-27","2010.572","1113.84","-96","100","0.878372781020516","320","0.10000067008693","5.0000013306879","2011.45037278102","5.61779946646716","1.28147889199039","0.144998260677365","0.113404413459834"
"2003-03-12","2010-07-26","2010.569","1115.01","-97","100","0.879218231039431","320","0.100000725950396","5.00000031278419","2011.44821823104","5.61537084908874","1.28368513574719","0.145404807460396","0.113010358782054"
